iter	Passed	Remaining
0	133	133512
1	134	67340
2	136	45297
3	137	34333
4	139	27698
5	141	23466
6	143	20351
7	145	18097
8	147	16195
9	148	14672
10	149	13452
11	150	12369
12	151	11520
13	153	10796
14	154	10130
15	156	9597
16	157	9081
17	158	8632
18	159	8230
19	160	7853
20	161	7509
21	161	7194
22	162	6904
23	163	6641
24	163	6388
25	164	6162
26	165	5950
27	165	5748
28	166	5567
29	166	5399
30	167	5235
31	168	5085
32	168	4945
33	169	4814
34	170	4695
35	170	4577
36	171	4464
37	172	4361
38	172	4260
39	173	4160
40	173	4067
41	174	3977
42	174	3892
43	175	3810
44	175	3733
45	176	3658
46	176	3586
47	177	3517
48	177	3450
49	178	3387
50	178	3326
51	179	3266
52	179	3208
53	179	3153
54	180	3099
55	180	3047
56	181	2996
57	181	2948
58	181	2901
59	182	2855
60	182	2811
61	183	2769
62	183	2727
63	183	2688
64	184	2649
65	184	2613
66	185	2578
67	185	2544
68	186	2510
69	186	2476
70	186	2444
71	187	2412
72	187	2382
73	187	2352
74	188	2323
75	188	2294
76	189	2266
77	189	2239
78	189	2213
79	190	2187
80	190	2162
81	191	2138
82	191	2112
83	191	2089
84	191	2066
85	192	2044
86	192	2022
87	193	2001
88	193	1980
89	193	1960
90	194	1940
91	194	1921
92	195	1902
93	195	1883
94	195	1865
95	196	1847
96	196	1829
97	196	1812
98	197	1795
99	197	1779
100	198	1762
101	198	1747
102	198	1731
103	199	1716
104	199	1701
105	200	1687
106	200	1673
107	200	1659
108	201	1645
109	201	1632
110	202	1619
111	202	1605
112	202	1592
113	203	1580
114	203	1567
115	204	1555
116	204	1542
117	204	1530
118	205	1518
119	205	1506
120	205	1495
121	206	1483
122	206	1472
123	206	1461
124	207	1450
125	207	1439
126	207	1428
127	208	1418
128	208	1409
129	209	1399
130	209	1389
131	209	1379
132	210	1370
133	210	1360
134	210	1351
135	211	1342
136	211	1333
137	212	1325
138	212	1316
139	213	1308
140	213	1300
141	213	1291
142	214	1283
143	214	1275
144	214	1267
145	215	1259
146	215	1252
147	216	1244
148	216	1237
149	217	1230
150	217	1222
151	217	1215
152	218	1208
153	218	1201
154	219	1194
155	219	1187
156	219	1180
157	220	1173
158	220	1166
159	220	1160
160	221	1152
161	221	1146
162	221	1139
163	222	1133
164	222	1127
165	223	1121
166	223	1115
167	223	1109
168	224	1103
169	224	1097
170	225	1091
171	225	1086
172	226	1080
173	226	1074
174	226	1069
175	227	1064
176	227	1058
177	228	1053
178	228	1047
179	228	1042
180	229	1037
181	229	1032
182	230	1027
183	230	1023
184	231	1018
185	231	1013
186	231	1008
187	232	1003
188	232	998
189	233	993
190	233	989
191	233	984
192	234	979
193	234	974
194	235	970
195	235	966
196	235	961
197	236	957
198	236	952
199	237	948
200	237	943
201	237	939
202	238	935
203	238	931
204	239	926
205	239	922
206	239	918
207	240	914
208	240	911
209	241	907
210	241	903
211	241	899
212	242	895
213	242	891
214	243	887
215	243	883
216	243	879
217	244	876
218	244	872
219	245	868
220	245	865
221	245	861
222	246	858
223	246	855
224	247	851
225	247	848
226	248	844
227	248	841
228	248	837
229	249	834
230	249	831
231	250	827
232	250	824
233	250	821
234	251	817
235	251	814
236	251	811
237	252	807
238	252	804
239	253	801
240	253	798
241	253	795
242	254	792
243	254	789
244	255	786
245	255	783
246	255	780
247	256	777
248	256	774
249	257	771
250	257	768
251	257	765
252	258	762
253	258	759
254	258	756
255	259	753
256	259	751
257	260	748
258	260	745
259	261	742
260	261	740
261	261	737
262	262	735
263	262	732
264	263	730
265	263	727
266	264	724
267	264	722
268	264	719
269	265	716
270	265	714
271	265	711
272	266	709
273	266	706
274	267	704
275	267	701
276	267	699
277	268	696
278	268	694
279	269	692
280	269	689
281	270	687
282	270	685
283	270	682
284	271	680
285	271	677
286	271	675
287	272	673
288	272	671
289	273	668
290	273	666
291	273	664
292	274	661
293	274	659
294	275	657
295	275	655
296	275	653
297	276	650
298	276	649
299	277	647
300	277	644
301	278	642
302	278	640
303	278	638
304	279	636
305	279	634
306	280	632
307	280	630
308	280	628
309	281	626
310	281	624
311	282	621
312	282	620
313	282	618
314	283	616
315	283	614
316	284	612
317	284	610
318	284	608
319	285	606
320	285	604
321	286	602
322	286	600
323	286	598
324	287	596
325	287	594
326	288	593
327	288	591
328	288	589
329	289	587
330	289	585
331	290	583
332	290	581
333	290	580
334	291	578
335	291	576
336	292	575
337	292	573
338	293	571
339	293	569
340	293	568
341	294	566
342	294	564
343	295	562
344	295	561
345	295	559
346	296	557
347	296	556
348	297	554
349	297	553
350	298	551
351	298	549
352	299	548
353	299	546
354	299	544
355	300	543
356	300	541
357	301	539
358	301	538
359	301	536
360	302	535
361	302	533
362	303	531
363	303	530
364	303	528
365	304	527
366	304	525
367	305	523
368	305	522
369	305	520
370	306	519
371	306	517
372	307	516
373	307	514
374	308	513
375	308	511
376	308	510
377	309	508
378	309	507
379	310	505
380	310	504
381	311	503
382	311	501
383	311	500
384	312	499
385	312	497
386	313	496
387	313	494
388	313	493
389	314	491
390	314	490
391	315	488
392	315	487
393	316	486
394	316	484
395	316	483
396	317	481
397	317	480
398	317	478
399	318	477
400	318	476
401	319	474
402	319	473
403	319	472
404	320	470
405	320	469
406	321	467
407	321	466
408	321	465
409	322	463
410	322	462
411	323	461
412	323	460
413	324	458
414	324	457
415	324	456
416	325	454
417	325	453
418	326	452
419	326	450
420	326	449
421	327	448
422	327	446
423	328	445
424	328	444
425	328	443
426	329	441
427	329	440
428	329	439
429	330	437
430	330	436
431	331	435
432	331	434
433	332	432
434	332	431
435	332	430
436	333	429
437	333	428
438	334	427
439	334	426
440	335	425
441	335	424
442	336	422
443	337	422
444	337	421
445	338	420
446	339	419
447	339	418
448	339	417
449	340	416
450	340	414
451	341	413
452	341	412
453	342	411
454	342	410
455	343	409
456	343	408
457	343	407
458	344	405
459	344	404
460	345	403
461	345	402
462	345	401
463	346	400
464	346	398
465	347	397
466	347	396
467	347	395
468	348	394
469	348	393
470	349	392
471	349	390
472	349	389
473	350	388
474	350	387
475	350	386
476	351	385
477	351	384
478	352	383
479	353	382
480	353	381
481	354	380
482	354	379
483	355	378
484	355	377
485	356	376
486	356	375
487	357	374
488	357	373
489	358	373
490	358	372
491	359	371
492	359	370
493	360	369
494	360	368
495	361	367
496	361	366
497	362	365
498	362	364
499	363	363
500	363	362
501	364	361
502	364	360
503	364	359
504	365	358
505	365	357
506	366	356
507	366	355
508	367	354
509	367	353
510	368	352
511	368	351
512	369	350
513	369	349
514	370	348
515	370	347
516	371	346
517	371	345
518	371	344
519	372	343
520	372	342
521	373	341
522	373	340
523	373	339
524	374	338
525	374	337
526	374	336
527	375	335
528	375	334
529	376	333
530	376	332
531	377	331
532	377	330
533	377	329
534	378	328
535	378	327
536	379	326
537	379	325
538	379	324
539	380	324
540	380	323
541	381	322
542	381	321
543	381	320
544	382	319
545	382	318
546	383	317
547	383	316
548	384	315
549	384	314
550	385	314
551	385	313
552	386	312
553	386	311
554	387	310
555	387	309
556	388	308
557	388	307
558	388	306
559	389	305
560	389	305
561	390	304
562	390	303
563	391	302
564	391	301
565	392	300
566	392	299
567	392	298
568	393	297
569	393	296
570	394	296
571	394	295
572	394	294
573	395	293
574	395	292
575	396	291
576	396	290
577	396	289
578	397	288
579	397	288
580	398	287
581	398	286
582	399	285
583	399	284
584	400	284
585	400	283
586	401	282
587	401	281
588	402	280
589	402	279
590	403	278
591	403	278
592	403	277
593	404	276
594	404	275
595	405	274
596	405	273
597	405	272
598	406	271
599	406	271
600	406	270
601	407	269
602	407	268
603	408	267
604	408	266
605	408	265
606	409	264
607	409	264
608	410	263
609	410	262
610	410	261
611	411	260
612	411	259
613	412	259
614	412	258
615	413	257
616	413	256
617	414	255
618	414	255
619	414	254
620	415	253
621	415	252
622	416	251
623	416	250
624	416	250
625	417	249
626	417	248
627	418	247
628	418	246
629	418	245
630	419	245
631	419	244
632	420	243
633	420	242
634	420	241
635	421	241
636	421	240
637	421	239
638	422	238
639	422	237
640	423	237
641	423	236
642	424	235
643	424	234
644	424	233
645	425	233
646	425	232
647	426	231
648	426	230
649	427	230
650	427	229
651	428	228
652	428	227
653	428	226
654	429	226
655	430	225
656	430	224
657	430	223
658	431	223
659	431	222
660	432	221
661	432	220
662	432	220
663	433	219
664	433	218
665	434	217
666	434	216
667	434	216
668	435	215
669	435	214
670	436	213
671	436	213
672	436	212
673	437	211
674	437	210
675	438	209
676	438	209
677	438	208
678	439	207
679	439	206
680	440	206
681	440	205
682	441	204
683	441	204
684	442	203
685	442	202
686	442	201
687	443	201
688	443	200
689	444	199
690	444	198
691	445	198
692	445	197
693	445	196
694	446	195
695	446	195
696	447	194
697	447	193
698	447	192
699	448	192
700	448	191
701	449	190
702	449	189
703	450	189
704	450	188
705	450	187
706	451	187
707	451	186
708	452	185
709	452	184
710	452	184
711	453	183
712	453	182
713	454	181
714	454	181
715	454	180
716	455	179
717	455	178
718	456	178
719	456	177
720	456	176
721	457	176
722	457	175
723	458	174
724	458	173
725	458	173
726	459	172
727	459	171
728	460	171
729	460	170
730	461	169
731	461	168
732	461	168
733	462	167
734	462	166
735	462	166
736	463	165
737	463	164
738	464	163
739	464	163
740	464	162
741	465	161
742	465	161
743	466	160
744	466	159
745	467	159
746	467	158
747	467	157
748	468	156
749	468	156
750	469	155
751	469	154
752	469	154
753	470	153
754	470	152
755	470	152
756	471	151
757	471	150
758	472	149
759	472	149
760	472	148
761	473	147
762	473	147
763	474	146
764	474	145
765	475	145
766	475	144
767	475	143
768	476	143
769	476	142
770	477	141
771	477	141
772	477	140
773	478	139
774	478	138
775	479	138
776	479	137
777	479	136
778	480	136
779	480	135
780	481	134
781	481	134
782	482	133
783	482	132
784	482	132
785	483	131
786	483	130
787	484	130
788	484	129
789	485	128
790	485	128
791	485	127
792	486	126
793	486	126
794	486	125
795	487	124
796	487	124
797	488	123
798	488	122
799	488	122
800	489	121
801	489	120
802	490	120
803	490	119
804	491	118
805	491	118
806	491	117
807	492	116
808	492	116
809	492	115
810	493	114
811	493	114
812	494	113
813	494	113
814	495	112
815	495	111
816	495	111
817	496	110
818	496	109
819	496	109
820	497	108
821	497	107
822	498	107
823	498	106
824	498	105
825	499	105
826	499	104
827	500	103
828	500	103
829	500	102
830	501	101
831	501	101
832	502	100
833	502	100
834	502	99
835	503	98
836	503	98
837	504	97
838	504	96
839	504	96
840	505	95
841	505	94
842	506	94
843	506	93
844	507	93
845	507	92
846	507	91
847	508	91
848	508	90
849	509	89
850	509	89
851	509	88
852	510	87
853	510	87
854	511	86
855	511	86
856	511	85
857	512	84
858	512	84
859	513	83
860	513	82
861	514	82
862	514	81
863	514	81
864	515	80
865	515	79
866	515	79
867	516	78
868	516	77
869	517	77
870	517	76
871	517	76
872	518	75
873	518	74
874	519	74
875	519	73
876	519	72
877	520	72
878	520	71
879	521	71
880	521	70
881	522	69
882	522	69
883	522	68
884	523	68
885	523	67
886	524	66
887	524	66
888	524	65
889	525	64
890	525	64
891	526	63
892	526	63
893	526	62
894	527	61
