iter	Passed	Remaining
895	527	61
896	528	60
897	528	60
898	528	59
899	529	58
900	529	58
901	530	57
902	530	56
903	530	56
904	531	55
905	531	55
906	531	54
907	532	53
908	532	53
909	533	52
910	533	52
911	533	51
912	534	50
913	534	50
914	535	49
915	535	49
916	536	48
917	536	47
918	537	47
919	537	46
920	537	46
921	538	45
922	538	44
923	539	44
924	539	43
925	539	43
926	540	42
927	540	41
928	541	41
929	541	40
930	541	40
931	542	39
932	542	38
933	542	38
934	543	37
935	543	37
936	544	36
937	544	35
938	544	35
939	545	34
940	545	34
941	546	33
942	546	33
943	546	32
944	547	31
945	547	31
946	548	30
947	548	30
948	548	29
949	549	28
950	549	28
951	550	27
952	550	27
953	550	26
954	551	25
955	551	25
956	552	24
957	552	24
958	553	23
959	553	23
960	553	22
961	554	21
962	554	21
963	555	20
964	555	20
965	555	19
966	556	18
967	556	18
968	557	17
969	557	17
970	558	16
971	558	16
972	558	15
973	559	14
974	559	14
975	560	13
976	560	13
977	560	12
978	561	12
979	561	11
980	561	10
981	562	10
982	562	9
983	563	9
984	563	8
985	564	8
986	564	7
987	564	6
988	565	6
989	565	5
990	566	5
991	566	4
992	567	3
993	567	3
994	567	2
995	568	2
996	568	1
997	569	1
998	569	0
999	569	0
